Locatie,Tel_nummer,Adres,Email
"RijbewijsBelang, Locatie Amsterdam Psychiatrie",Not available,Papaverweg 34 1032KJ AMSTERDAM,info@rijbewijsbelang.nl
Dhr. V. Akbarkhanzadeh Visch Psychiatrische Praktijk,06 38 74 94 55,Borgerstraat 118 1053PX AMSTERDAM,Not available
Dhr. drs. D.K. Balraadjsing,020 617 8108,Wilhelmus Leemanstraat 19 1065CW AMSTERDAM,Not available
"BureauRijbewijskeuringen B.V., Afdeling Psychiatrie Locatie Amsterdam",070 311 5246,Wolbrantskerkweg 72 1069DA AMSTERDAM,info@bureaurijbewijskeuringen.nl
Dhr. drs. M. van Loenen,06 30 51 03 81,Van Baerlestraat 13 -A-21071AM AMSTERDAM,keuring@kpnmail.nl
Dhr. dr. H.N. Dijkstra,085 273 2240,Gerard Terborgstraat 44 1071TP AMSTERDAM,hdijkstra24@gmail.com
Barbier Medical Services Locatie Amsterdam,085 489 0586,Tilanusstraat 8 c1091BH AMSTERDAM,Not available
Ros Rijbewijskeuringen Amsterdam,06 52 35 75 93,Bijlmerdreef 661 1102RR AMSTERDAM,rjokhoe@hotmail.com
Psykeur,06 19 08 96 33,Koninginneweg 11 1217KP HILVERSUM,info@psykeur.nl
Dhr. dr. C.C. Kan,06 26 22 24 75,Noorderweg 1 a31401TV BUSSUM,Not available
RijbewijsBelang Locatie Hoofddorp Psychiatrie,Not available,Saturnusstraat 46 -622132HB HOOFDDORPRegus Hoofddorp Azura,info@rijbewijsbelang.nl
RijbewijsBelang Locatie Leiden Psychiatrie,Not available,Mendelweg 32 2333CS LEIDENRegus Leiden Bio Science Park,info@rijbewijsbelang.nl
Mental Health Center Dhr. V.M. Artist,070 363 4454,Beeklaan 339 2562AJ 'S-GRAVENHAGEKeuring vindt plaats op 1e verdieping en is niet rolstoeltoegankelijk.,Not available
"RijbewijsBelang, Locatie Den Haag Psychiatrie",Not available,Jan Pietersz. Coenstraat 7 2595WP 'S-GRAVENHAGEKeuringen tevens mogelijk in het weekend.,info@rijbewijsbelang.nl
010 Keuringen Locatie Rotterdam,0168 479 250,'s-Gravendijkwal 66 3014EG ROTTERDAMDe keuringen vinden plaats in het Centrum voor Gezondheid en Welzijn (CGW),Not available
Van der Vlugt Rapportages Locatie Rotterdam,010 753 2241,Claes de Vrieselaan 103 3021JG ROTTERDAM,Not available
Loomans Rapportages Locatie Rotterdam,010 753 2241,Claes de Vrieselaan 103 3021JG ROTTERDAM,Not available
Barbier Medical Services Locatie Rotterdam,085 489 0586,Elektroweg 11 N3051NB ROTTERDAM,Not available
Ros Rijbewijskeuringen Rotterdam,06 52 35 75 93,Elektroweg 11 N3051NB ROTTERDAM,rjokhoe@hotmail.com
"RijbewijsBelang, Locatie Rotterdam Psychiatrie",Not available,Marten Meesweg 25 3068AV ROTTERDAM,info@rijbewijsbelang.nl
"BureauRijbewijskeuringen B.V., Afdeling Psychiatrie Locatie Rotterdam",070 311 5246,Boxbergenstraat 11 3077JS ROTTERDAM,info@bureaurijbewijskeuringen.nl
010 Keuringen Locatie Schiedam,0168 479 250,Overschieseweg 306 3112NC SCHIEDAMDe locatie is direct naast Schiedam Centraal station.,Not available
Dhr. drs. A. van Galen,06 22 69 27 17,Overschieseweg 306 3112NC SCHIEDAM2de etage bij Breinpoli. Gebouw Schiehove.,cbr.psychiater@gmail.com
Graveland CBR Keuringen Locatie Utrecht,Not available,Arthur van Schendelstr 500 3511MH UTRECHT,Not available
"RijbewijsBelang, Locatie Utrecht Psychiatrie",Not available,Stadsplateau 27 -293521AZ UTRECHTRegus Central Park,info@rijbewijsbelang.nl
Dhr. drs. D.P. Ravelli,Not available,Vrieslantlaan 1 -33526AA UTRECHT,altaconsult@planet.nl
Alba Rijbewijskeuring,030 785 0601,Nevadadreef 23 3565CA UTRECHT,info@alba-rijbewijskeuring.nl
MKIN Locatie Amersfoort Psychiatrie,020 261 2560,Databankweg 26 3821AL AMERSFOORT,Not available
"BureauRijbewijskeuringen B.V, Afdeling Psychiatrie Locatie Amersfoort",070 311 5246,Maanlander 10 3824MP AMERSFOORT,info@bureaurijbewijskeuringen.nl
Dhr. drs. J.M. ten Brinke,0318 701 873,Plesmanstraat 59 303905KZ VEENENDAAL,info@tenbrinkepsychiatrie.nl
MKIN Locatie Utrecht Psychiatrie,020 261 2560,Baan van Fectio 1 3981HZ BUNNIK,Not available
MKIN Locatie Bunnik Psychiatrie,020 261 2560,Baan van Fectio 1 3981HZ BUNNIK,Not available
Van der Vlugt Rapportages Locatie Goes,010 753 2241,Stationspark 8 4462DZ GOESLocatie Goes,Not available
Loomans Rapportages Locatie Goes,010 753 2241,Stationspark 8 4462DZ GOESLocatie Goes,Not available
010 Keuringen Locatie Goes,0168 479 250,Stationspark 8 4462DZ GOESLocatie Goes,Not available
Dhr. dr. S. Dogan,06 34 24 69 43,Stationspark 8 4462DZ GOES,cbrkeuringzeeland@gmail.com
Dhr. dr. S. Dogan,06 34 24 69 43,Zuidzijde Haven 39 a4611HC BERGEN OP ZOOM,cbrkeuringzeeland@gmail.com
"GGZ Breburg, Afdeling Psychiatrie J.J. de Jong",06 49 07 54 72,Poolseweg 190 4818CG BREDA,Not available
MKIN Locatie Breda Psychiatrie,020 261 2560,Verlengde Poolseweg 16 4818CL BREDA,Not available
"GGz Breburg, Afdeling Psychiatrielokatie Jan Wierhof H.J.T.M. Corthals",06 15 40 65 12,"Jan Wierhof 4 5017JD TILBURGDe locatie Jan Wierhof van GGz Breburg ligt op 15-20 minuten lopen van het Centraal Station. U kunt ook de bus nemen: lijn 141 of 142, stap uit bij halte St. Josephstraat Ringbaan Oost. De auto kunt u parkeren op het terrein achter de slagboom. Ingang ""Somatische Dienst"".",h.corthals@ggzbreburg.nl
MKIN Locatie Tilburg Psychiatrie,020 261 2560,Hart van Brabantlaan 12 5038JL TILBURG,Not available
PE-Praktijk,06 13 04 75 49,Dr. Deelenlaan 5 5042AD TILBURGRoute 99,info@pe-praktijk.nl
"BureauRijbewijskeuringen B.V., Afdeling Psychiatrie Locatie Tilburg",070 311 5246,Fazantenjachtstraat 26 5042XB TILBURG,info@bureaurijbewijskeuringen.nl
RijbewijsBelang Locatie 's-Hertogenbosch Psychiatrie,Not available,Stationsplein 91 &1055211BM 'S-HERTOGENBOSCHRegus Den Bosch,info@rijbewijsbelang.nl
MKIN Locatie Den Bosch Psychiatrie,020 261 2560,Pettelaarpark 84 5216PP 'S-HERTOGENBOSCH,Not available
Dhr. dr. P.J.H. Notten,Not available,Achterstraat 61 5268EB HELVOIRT,secretaressenotten@gmail.com
"RijbewijsBelang, Locatie Eindhoven Psychiatrie",Not available,Kennedyplein 200 5611ZT EINDHOVEN,info@rijbewijsbelang.nl
Dhr. drs. A.H.G.M. Macor,0493 820 990,Kloosterstraat 28 5724AH OMMELVia de website is een routebeschrijving op te halen en een advies aangaande openbaar vervoer.,info@psoas.nl
Dhr. drs. P.J.M. Raedts,06 24 65 35 06,"Dunantweg 16 5751CB DEURNEDe keuring vindt plaats in de polikliniek van het ​Elkerliek ziekenhuis, locatie Deurne.",pjmraedts@santora.nl
"AMA Expertise, Afdeling Psychiatrie",06 29 42 52 40,Geleenbeeklaan 90 6166GR GELEEN,Not available
MKIN Locatie Nijmegen Psychiatrie,020 261 2560,Jonkerbosplein 52 6534AB NIJMEGEN,Not available
MKIN Locatie Arnhem Psychiatrie,020 261 2560,Nieuwe Stationsstraat 20 6811KS ARNHEM,Not available
"BureauRijbewijskeuringen B.V., Afdeling Psychiatrie Locatie Arnhem",070 311 5246,Papendallaan 7 6816VD ARNHEM,info@bureaurijbewijskeuringen.nl
MKIN Locatie Zutphen Psychiatrie,020 261 2560,Piet Heinstraat 11 7204JN ZUTPHEN,Not available
Dhr. drs. M.A. Bozdag,06 55 39 14 96,Berghegelaan 53 7207RG ZUTPHENKantoor is aan de achterzijde van de woning.,m.bozdag@mst.nl
MKIN Locatie Apeldoorn Psychiatrie,020 261 2560,Het Rietveld 55 a7321CT APELDOORN,Not available
RijbewijsBelang Locatie Apeldoorn Psychiatrie,Not available,Het Rietveld 55 A7321CT APELDOORNRegus Apeldoorn Business Park,info@rijbewijsbelang.nl
Graveland CBR Keuringen Locatie Apeldoorn,Not available,Wapenrustlaan 11 7321DL APELDOORN,Not available
Medicus Rijbewijskeuring Locatie Apeldoorn,085 0606 169,Jean Monnetpark 19 7336BA APELDOORN,Not available
MKIN Locatie Deventer Psychiatrie,020 261 2560,Keulenstraat 12 7418ET DEVENTER,Not available
Dhr. drs. A.T. Alexandrov,06 11 92 83 33,Oliemolensingel 133 7511BB ENSCHEDE,onderzoekalexandrov@ziggo.nl
Dhr. drs. M.A. Bozdag,06 55 39 14 96,Koningsplein 1 7512KZ ENSCHEDEPolikliniek bevindt zich op B-43 van Medisch Spectrum Twente.,m.bozdag@mst.nl
MKIN Locatie Enschede Psychiatrie,020 261 2560,Capitool 10 7521PL ENSCHEDE,Not available
MKIN Locatie Hengelo Psychiatrie,020 261 2560,Jacques Perkstraat 3 7552JR HENGELO OV,Not available
"ZGT Hengelo, Polikliniek Psychiatrie",088 708 3110,Geerdinksweg 141 7555DL HENGELO OV​Polikliniek psychiatrie 0.19,Not available
MKIN Locatie Almelo Psychiatrie,020 261 2560,Bedrijvenpark Twente 305 7602KL ALMELOPoint West Bedrijvenpark,Not available
"ZGT Almelo, Polikliniek Psychiatrie",088 708 3110,Zilvermeeuw 1 7609PP ALMELO,Not available
MKIN Locatie Hoogeveen Psychiatrie,020 261 2560,De Vos van Steenwijklaan 75 7902NP HOOGEVEEN,Not available
"BureauRijbewijskeuringen B.V., Afdeling Psychiatrie Locatie Hoogeveen",070 311 5246,Leeuweriklaan 7 B7905CA HOOGEVEEN,info@bureaurijbewijskeuringen.nl
Graveland CBR Keuringen Locatie Meppel,Not available,Blankenstein 400 7943PH MEPPEL,Not available
MKIN Locatie Zwolle Psychiatrie,020 261 2560,Grote Voort 293 A8041BL ZWOLLE,Not available
"RijbewijsBelang, Locatie Zwolle Psychiatrie",Not available,Grote Voort 293 A8041BL ZWOLLE,info@rijbewijsbelang.nl
