Locatie,Tel_nummer,Adres,Email
Hartdokters BV Locatie: Frederik Hendrikstraat 47,020 786 9446,Frederik Hendrikstraat 47 1052HK AMSTERDAMHoofdlocatie,ECG@HARTDOKTERS.NL
Hartdokters B.V. Locatie Slotermeerlaan 1 Amsterdam,020 786 9446,Slotermeerlaan 1 1064GX AMSTERDAM,ecg@hartdokters.nl
Cardiologie Centrum Amsterdam Zuid,085 303 8620,Karel du Jardinstraat 61 1073TB AMSTERDAMCardiologie Centrum Amsterdam Zuid,Not available
Cardiologie Centrum Geervliet,085 303 8620,Zwaansvliet 5 1081AP AMSTERDAMCCN Geervliet,Not available
MKIN Locatie Amsterdam Cardiologie,020 261 2560,Bijlmerdreef 1169 1103TT AMSTERDAMMC Ganzenhoef,Not available
Hartkliniek Flevoland Locatie Amsterdam,0885002000,Bijlmerdreef 1169 1103TT AMSTERDAMLocatie Amsterdam,Not available
Hartdokters BV Locatie: Bijlmerdreef 1001-A,020 786 9446,Bijlmerdreef 1001 A1103TW AMSTERDAMLocatie Amsterdam Bijlmer,ecg@hartdokters.nl
MKIN Locatie Amstelveen Cardiologie,020 261 2560,Prof. J.H. Bavincklaan 7 1183AT AMSTELVEEN,Not available
Tergooi Ziekenhuis Blaricum Cardiologie,088 753 1100,Rijksstraatweg 1 1261AN BLARICUMLocatie Blaricum,Not available
Cardiologie Centrum Almere,036 540 6080,Bartokweg 161 1311ZX ALMERECardiologie Centrum Almere,Not available
HartKliniek Flevoland Locatie Almere,088 500 2000,Randstad 2177 1314BJ ALMERE,Not available
MKIN Locatie Almere Cardiologie,020 261 2560,Mandelaplein 1 1314CG ALMERE,Not available
Flevo Ziekenhuis Maatschap Cardiologie,036 868 8719,Hospitaalweg 1 1315RA ALMERE,Not available
MKIN Locatie Naarden Cardiologie,020 261 2560,Gooimeer 1 1411DC NAARDEN,info@mkin.nl
MKIN Locatie Purmerend Cardiologie,020 261 2560,Waterlandlaan 250 1441RN PURMEREND,info@mkin.nl
"Dijklander Ziekenhuis, locatie Enkhuizen Maatschap Cardiologen",0228 312 345,Molenweg 9 b1601SR ENKHUIZEN,Not available
MKIN Locatie Hoorn Cardiologie,020 261 2560,Maelsonstraat 5 1624NP HOORN NH,info@mkin.nl
Hartkliniek Flevoland Locatie Hoorn,088 500 2000,Nieuwe Steen 48 1625HV HOORN NHLocatie Hoorn,Not available
Noordwest Ziekenhuisgroep Den Helder Maatschap Cardiologen,0223 696 546,Huisduinerweg 3 1782GZ DEN HELDERLocatie Den Helder,Not available
MKIN Locatie Alkmaar Cardiologie,020 261 2560,Jan Ligthartstraat 1 1817MR ALKMAARDe keuring vindt plaats in het Gezondheidscentrum Fysiotherapie Oude Gracht,Not available
